transitions,,,,,,
EVENT,Reset,Association,ASSOCIATED,NOTASSOCIATED
EVENT,Reset,Association,NOTASSOCIATED,NOTASSOCIATED
EVENT,Reset,Reservation,RESERVED,NOTRESERVED
EVENT,Reset,Reservation,NOTRESERVED,NOTRESERVED
EVENT,Reset,Job,EMPTY,EMPTY
EVENT,Reset,Job,BUILDING,EMPTY
EVENT,Reset,Job,CANCELLING,EMPTY
EVENT,Reset,Job,PRESENT,EMPTY
EVENT,Reset,Job,STARTED,EMPTY
EVENT,Resumed,Equip,CHECKING,PROCESSING
EVENT,StartInit,Equip,WORKSTATIONREADY,INIT
EVENT,Stopped,Equip,STOPPING,IDLEREADY
EVENT,Stopped,Port,DIEEND,STANDBY
EVENT,Stopped,Port,DIESTART,STANDBY
EVENT,Stopped,Port,LOTCOMPLETE,STANDBY
EVENT,Stopped,Port,LOTSTART,STANDBY
EVENT,Stopped,Port,PENDINGCLOSE,STANDBY
EVENT,Stopped,Port,PENDINGCOMPLETE,STANDBY
EVENT,Stopped,Port,READY,STANDBY
EVENT,Stopped,Port,REREADY,STANDBY
EVENT,Stopped,Port,RELEASING,STANDBY
EVENT,Stopped,Port,RESETUP,STANDBY
EVENT,Stopped,Port,SETTINGUP,STANDBY
EVENT,Stopped,Port,STANDBY,STANDBY
EVENT,Stopped,Port,STARTING,STANDBY
EVENT,Stopped,Port,SUBLOTCOMPLETE,STANDBY
EVENT,Stopped,Port,SUBLOTSTART,STANDBY
EVENT,SubLotComplete,Port,DIEEND,SUBLOTCOMPLETE
EVENT,SubLotComplete,Port,SUBLOTSTART,SUBLOTCOMPLETE
EVENT,SubLotStart,Port,LOTSTART,SUBLOTSTART
EVENT,SubLotStart,Port,SUBLOTCOMPLETE,SUBLOTSTART
EVENT,SystemIdle,Equip,PROCESSING,IDLEREADY
PCMD,JOB_CREATE,Job,EMPTY,BUILDING
STARTUP,,Equip,WORKSTATIONREADY,WORKSTATIONREADY
