transition_events,,,,,
type ,message,stateModel,currentState,order,CEID
EVENT,Reset,Equip,INIT,1,5001
EVENT,Reset,Equip,INIT,2,5035
EVENT,Reset,Equip,PAUSED,1,5014
EVENT,Reset,Equip,PAUSED,2,5016
EVENT,Reset,Equip,PAUSED,3,5036
EVENT,Reset,Equip,PAUSING,1,5014
EVENT,Reset,Equip,PAUSING,2,5016
EVENT,Reset,Equip,PAUSING,3,5036
EVENT,Reset,Equip,PROCESSING,1,5007
EVENT,Reset,Equip,PROCESSING,2,5016
EVENT,Reset,Equip,PROCESSING,3,5036
EVENT,Reset,Equip,STOPPING,1,5012
EVENT,Reset,Equip,STOPPING,2,5035
EVENT,Resumed,Equip,CHECKING,1,5011
EVENT,StartInit,Equip,WORKSTATIONREADY,1,5000
EVENT,Stopped,Equip,STOPPING,1,5012
EVENT,SubLotComplete,Port,DIEEND,1,5153
EVENT,SubLotComplete,Port,SUBLOTSTART,1,5155
EVENT,SubLotStart,Port,LOTSTART,1,5150
EVENT,SubLotStart,Port,SUBLOTCOMPLETE,1,5156
EVENT,SubLotStart,Port,STARTING,1,5186
EVENT,SystemIdle,Equip,PROCESSING,1,5060
PA,ReserveAtPort,Reservation,NOTRESERVED,1,5502
PA,CancelReservationAtPort,Reservation,RESERVED,1,5503
PJEVENT,QueuedPooled,ProcessJob,NONE,1,5901
PJEVENT,SettingUp,ProcessJob,QUEUED/POOLED,1,5902
PJEVENT,WaitingForStart,ProcessJob,SETTING UP,1,5903
PJEVENT,AutoStart,ProcessJob,SETTING UP,1,5904
PJCMD,ManualStart,ProcessJob,WAITING FOR START,1,5905
PJEVENT,ProcessComplete,ProcessJob,PROCESSING,1,5906
PJEVENT,ProcessJobDeleted,ProcessJob,PROCESS COMPLETE,1,5907
PJCMD,ProcessJobPause,ProcessJob,SETTING UP,1,5908
PJCMD,ProcessJobPause,ProcessJob,WAITING FOR START,1,5908
PJCMD,ProcessJobPause,ProcessJob,PROCESSING,1,5908
PJCMD,ProcessJobPause,ProcessJob,PROCESS COMPLETE,1,5908
PJEVENT,ProcessJobPaused,ProcessJob,PAUSING,1,5909
PJEVENT,ProcessJobResumed,ProcessJob,PAUSED,1,5910
PJCMD,ProcessJobStop,ProcessJob,QUEUED/POOLED,1,5918
PJCMD,ProcessJobStop,ProcessJob,SETTING UP,1,5911
PJCMD,ProcessJobStop,ProcessJob,WAITING FOR START,1,5911
PJCMD,ProcessJobStop,ProcessJob,PROCESSING,1,5911
PJCMD,ProcessJobStop,ProcessJob,PROCESS COMPLETE,1,5911
PJCMD,ProcessJobStop,ProcessJob,PAUSING,1,5912
PJCMD,ProcessJobStop,ProcessJob,PAUSED,1,5912
PJCMD,ProcessJobAbort,ProcessJob,SETTING UP,1,5913
PJCMD,ProcessJobAbort,ProcessJob,WAITING FOR START,1,5913
PJCMD,ProcessJobAbort,ProcessJob,PROCESSING,1,5913
PJCMD,ProcessJobAbort,ProcessJob,PROCESS COMPLETE,1,5913
PJCMD,ProcessJobAbort,ProcessJob,STOPPING,1,5914
PJCMD,ProcessJobAbort,ProcessJob,PAUSING,1,5915
PJCMD,ProcessJobAbort,ProcessJob,PAUSED,1,5915
PJCMD,ProcessJobAbort,ProcessJob,QUEUED/POOLED,1,5918
PJEVENT,ProcessJobAbortStart,ProcessJob,PROCESSING,1,5913
PJEVENT,ProcessJobAborted,ProcessJob,ABORTING,1,5916
PJEVENT,ProcessJobStopped,ProcessJob,STOPPING,1,5917
PJCMD,ProcessJobCancel,ProcessJob,QUEUED/POOLED,1,5918
CJEVENT,Queued,ControlJob,NONE,1,5801
CJCMD,ControlJobAbort,ControlJob,QUEUED,1,5802
